name,city,location,date,high_price,low_price,actor,state
「怦怦」刘莱斯2020巡演 苏州站,苏州,2020.11.21 周六 20:30,,售票中,山丘livehouse红唐店,120,198
AR刘夫阳【2020 非 - 流行说唱】巡演 重庆站,重庆,2020.12.05 周六 20:30,,售票中,寅派动力,200,230
「秋游要去动物园 Fall Reverb In The Zoo」2020动物园钉子户巡演 哈尔滨站,哈尔滨,2020.11.29 周日 19:00,,售票中,SUBLIVE,80,100
葡萄合唱团PRO(葡萄不愤怒X新学校废物合唱团)联合巡演 大连站,大连,2020.12.26 周六 20:30,,售票中,赫兹音乐空间(黑石礁店),150,280
「酒水畅饮」太空漫游2020,成都,2020.12.06 周日 19:30,,售票中,MAO Livehouse成都,109,109
沼泽乐队《风和我》2020年巡演北京站,北京,2020.12.20 周日 20:30,,售票中,疆进酒·OMNI SPACE,130,130
日本指弹艺术家GIN 2020新专辑《Passage》吉他演奏会 杭州站,杭州,2020.12.20 周日 14:00,,售票中,MAO Livehouse杭州,150,280
「湖怪呈现」湖怪造音VOL.1,武汉,2020.11.21 周六 20:30,,售票中,L7 Livehouse(珞狮路南国大家装A2栋三层),30,30
哥特复古SWING 邀你来晒月光浴！,上海,2020.11.28-11.29,,售票中,MAO Livehouse上海,60,320
宿羽阳四城梦游派对-深圳站,深圳,2020.12.24 周四 20:30,,售票中,深圳 HOU LIVE,150,430
龙神道乐队 “地下游乐场”2020巡演 上海站,上海,2020.12.05 周六 20:30,,售票中,育音堂(音乐公园店),100,100
【秀动呈献】「怦怦」刘莱斯2020巡演 杭州站,杭州,2020.11.28 周六 20:30,,售票中,MAO Livehouse杭州,120,198
M-LAB | 呈献 扭曲机器 2020「永不止步 Never Stop」三城专场演出 上海站,上海,2020.11.28 周六 20:30,,售票中,Modernsky lab上海,150,150
经典动漫视听演唱会,苏州,2020.12.26 周六 19:30,,售票中,高新区文体中心文化馆小剧场,90,150
鹿先森「敬这伟大的良宵」巡演 重庆站,重庆,2020.12.26 周六 20:00,鹿先森乐队,售票中,寅派动力,220,220
【秀动呈献】Carsick Cars 2020“晕”巡演 厦门站,厦门,2020.11.21 周六 20:30,,售票中,星巢越中心,180,180
光辉岁月―致敬“BEYOND・黄家驹”纪念演唱会,合肥,2021.01.03 周日 19:40,,售票中,安徽大剧院,80,280
舟山 【万有音乐系】《“从心出发”王铮亮2020全国巡回演唱会》-舟山站,舟山,2020.12.05 周六 19:30,,售票中,舟山普陀大剧院,180,380
《倚石听声—石倚洁与美声男孩专场音乐会》,重庆,2020.11.25 周三 19:30,,售票中,重庆大剧院,280,580
《遇见爱情 · 平安夜邓丽君情歌演唱会—陈佳倾情演绎》,苏州,2020.12.24 周四 19:30,,售票中,苏州聚橙尹山湖大剧院,50,380
贰叁叁脱口秀丨周三/周四/周日小剧场演出,上海,2020.11.22-12.30,,售票中,THE BOXX新偶像演艺空间,99,99
“明天会更好”罗天翼与乐队武汉跨年音乐会,武汉,2021.01.02 周六 20:00,,售票中,不晚IN TIME LIVE,100,120
【全场畅饮】魔方城市派对日 - 改噪 - 激励器BOOST,上海,2020.11.21 周六 20:00,,售票中,MAO Livehouse上海,160,160
《光輝的歲月·紀念黃家駒逝世27載》巡迴演唱會,南宁,2020.11.29 周日 19:30,,售票中,南宁意酒馆,168,228
《Click#15疯客与舞蹈2.0巡演厦门站》,厦门,2021.01.18 周一 20:00,,售票中,厦门嘉庚剧院大剧场,100,680
NONG ARCHIVE TOUR PART.2 重庆站,重庆,2021.01.15 周五 20:30,,售票中,寅派动力,200,200
